,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
448,Chernyshevskiy,63.0128,112.4714,-16.7,95,100,1.0
449,Wajid,3.8093,43.2471,26.84,35,0,4.79
450,Shar,49.5886,81.0453,-0.73,97,100,7.02
451,Cao Bang,22.6667,106.25,19.96,71,100,0.57
452,Alice Springs,-23.7,133.8833,23.07,35,6,2.57
453,Giohar,2.7809,45.5005,23.84,78,4,8.16
454,Ancud,-41.8697,-73.8203,26.39,34,0,3.6
455,Bilibino,68.0546,166.4372,-18.05,74,1,2.69
456,Dalbandin,28.8947,64.4101,13.93,27,0,1.78
457,Palmeiras de Goiás,-16.805,-49.9258,24.27,89,28,2.41
458,Grand Forks,47.9417,-97.4337,-24.25,53,75,3.09
459,Gouré,13.9835,10.2704,22.78,13,0,0.89
460,Toledo,39.8333,-4.0,7.23,74,100,6.81
461,Tuxpan,19.55,-103.4,25.0,65,20,3.44
462,Carauari,-4.8828,-66.8958,29.73,79,60,0.64
463,Surgut,61.25,73.4167,-11.0,85,75,8.0
464,Porbandar,21.6422,69.6093,19.87,32,0,3.36
465,Sola,-13.8833,167.55,27.54,71,100,3.03
466,Hudiksvall,61.729,17.1036,-10.0,91,0,2.62
467,Kumul,42.8,93.45,0.08,76,54,2.52
468,Mount Isa,-20.7333,139.5,25.0,100,99,2.57
469,Brewster,41.3973,-73.6171,-2.01,86,90,2.06
470,Chu,43.5983,73.7614,2.54,81,100,2.53
471,Dawlatabad,36.4141,64.9053,11.51,52,44,1.3
472,São João dos Patos,-6.495,-43.7022,28.7,72,9,1.19
473,Kargopol',61.5071,38.9456,-26.4,89,30,2.59
474,Camopi,3.1655,-52.3158,23.52,96,100,2.0
475,Chapais,49.7834,-74.8492,-9.0,79,90,4.12
476,Swellendam,-34.0226,20.4417,20.0,60,58,2.57
477,Eyl,7.9803,49.8164,24.17,79,0,8.39
478,Soller,39.7662,2.7152,9.8,62,20,1.54
479,Alofi,-19.0595,-169.9187,27.0,89,98,2.57
480,Barbosa Ferraz,-24.03,-52.0117,27.37,65,0,1.2
481,São Félix do Xingu,-6.6447,-51.995,29.95,65,38,1.02
482,Berlevåg,70.8578,29.0864,-4.11,63,75,12.86
483,Santa Maria,-29.6842,-53.8069,30.0,51,20,3.09
484,Santa Rosa,14.3122,121.1114,25.0,78,20,1.54
485,Naze,28.3667,129.4833,14.21,65,0,4.17
486,Kotma,23.2,81.9667,9.58,50,0,1.09
487,Marsh Harbour,26.5412,-77.0636,25.51,79,1,7.54
488,Sandpoint,48.2766,-116.5533,1.0,51,40,2.57
489,Diamantino,-14.4086,-56.4461,30.59,48,18,1.78
490,Padang,-0.9492,100.3543,25.0,88,20,1.54
491,Sistranda,63.7256,8.834,-6.0,86,20,4.63
492,Caditaan,12.8053,123.8492,24.96,88,100,5.51
493,Sardarpur,22.678,74.9484,14.74,34,0,3.8
494,Mount Gambier,-37.8333,140.7667,13.0,71,90,3.09
495,Port Moresby,-9.4431,147.1797,25.0,94,40,4.12
496,Bouca,6.5105,18.2733,24.34,19,50,1.78
497,Zarubino,42.63,131.0922,-14.8,88,7,6.88
498,Jining,35.405,116.5814,-0.23,78,47,2.08
499,Obo,5.3998,26.4869,20.44,24,60,2.37
500,Aras,42.5617,-2.356,7.0,87,90,3.6
501,Portland,45.5234,-122.6762,7.31,66,90,1.54
502,Staryy Nadym,65.6118,72.6842,-17.16,93,100,8.85
503,Visnes,59.3556,5.2242,-5.8,63,0,2.06
504,Kangaatsiaq,68.3065,-53.4641,-5.94,84,0,9.47
505,Nioaque,-21.1353,-55.83,30.19,39,0,1.64
506,Samarai,-10.6167,150.6667,27.56,77,100,2.14
507,Kaputa,-8.4689,29.6619,22.19,80,100,1.16
508,Bathsheba,13.2167,-59.5167,28.0,57,75,10.8
509,Montelíbano,7.9829,-75.4229,33.64,50,81,2.24
510,Tarascon,43.8058,4.6603,7.0,70,0,4.12
511,Baykit,61.67,96.37,-3.77,95,99,2.97
512,Los Llanos de Aridane,28.6585,-17.9182,15.16,68,20,4.12
513,Havelock,34.8791,-76.9013,8.77,79,88,1.79
514,Tavares,28.8042,-81.7256,23.72,56,1,2.57
515,Izhma,65.0083,53.9113,-31.67,84,100,4.94
516,Znamenskoye,57.1281,73.8282,-15.36,92,100,5.99
517,Baie-Comeau,49.2168,-68.1489,-6.0,58,1,1.03
518,Myaundzha,63.0494,147.1858,-16.99,87,100,3.17
519,Kintinku,-5.8833,35.2333,22.0,83,20,2.25
520,San Felipe,10.3399,-68.7425,28.12,62,91,3.62
521,San Cristobal,7.7669,-72.225,31.0,51,40,3.6
522,Bagotville,-28.9833,153.4167,22.16,78,75,5.66
523,Plettenberg Bay,-34.0527,23.3716,18.18,77,83,2.47
524,Khani,41.9563,42.9566,7.0,93,75,2.57
525,Rawson,-43.3002,-65.1023,16.34,47,16,5.4
